train_loss,train_accuracy,valid_loss,valid_accuracy
0.1855,0.9191,0.0980,0.9522
0.0962,0.9591,0.0821,0.9737
0.0833,0.9656,0.0538,0.9737
0.0928,0.9638,0.1385,0.9564
0.0761,0.9675,0.0650,0.9732
0.0554,0.9758,0.0689,0.9737
0.0466,0.9781,0.0651,0.9716
0.0354,0.9827,0.0523,0.9816
0.0324,0.9851,0.0892,0.9680
0.0318,0.9829,0.0753,0.9743
0.0447,0.9791,0.0625,0.9769
0.0315,0.9876,0.0432,0.9848
0.0220,0.9880,0.0400,0.9853
0.0391,0.9814,0.0809,0.9590
0.0309,0.9836,0.0395,0.9842
0.0168,0.9904,0.0583,0.9764
0.0289,0.9876,0.0914,0.9727
0.0172,0.9910,0.0614,0.9827
0.0580,0.9780,0.0592,0.9800
0.0377,0.9868,0.0729,0.9774
0.0281,0.9869,0.0601,0.9832
0.0104,0.9940,0.0766,0.9816
0.0071,0.9961,0.0733,0.9806
0.0116,0.9929,0.0685,0.9837
0.0113,0.9934,0.0882,0.9769
0.0109,0.9936,0.0758,0.9758
0.0505,0.9820,0.0719,0.9785
0.0136,0.9931,0.0718,0.9779
0.0118,0.9941,0.0730,0.9722
0.0077,0.9971,0.0723,0.9737
0.0104,0.9955,0.0893,0.9701
0.0374,0.9848,0.0718,0.9748
0.0102,0.9948,0.0849,0.9795
0.0050,0.9969,0.1034,0.9769
0.0061,0.9977,0.0923,0.9785
0.0148,0.9945,0.0789,0.9769
0.0043,0.9978,0.0838,0.9832
0.0076,0.9962,0.1550,0.9753
0.0456,0.9819,0.0923,0.9774
0.0163,0.9910,0.0997,0.9795
0.0094,0.9955,0.1775,0.9596
0.0269,0.9903,0.0951,0.9785
0.0085,0.9961,0.1007,0.9779
0.0056,0.9972,0.0920,0.9779
0.0040,0.9976,0.0850,0.9800
0.0066,0.9978,0.1124,0.9779
0.0037,0.9981,0.1168,0.9790
0.0027,0.9986,0.1265,0.9737
0.0130,0.9941,0.1321,0.9695
0.0586,0.9810,0.0940,0.9727
0.0092,0.9963,0.0895,0.9769
0.0072,0.9971,0.0906,0.9779
0.0064,0.9982,0.0903,0.9785
0.0052,0.9976,0.0904,0.9800
0.0033,0.9983,0.0957,0.9790
0.0033,0.9987,0.0929,0.9795
0.0032,0.9978,0.0941,0.9800
0.0016,0.9992,0.0939,0.9800
0.0017,0.9987,0.0921,0.9800
0.0013,0.9996,0.0973,0.9795
0.0010,0.9992,0.0971,0.9800
0.0013,0.9997,0.0959,0.9795
0.0016,0.9995,0.0963,0.9800
0.0017,0.9992,0.0922,0.9821
0.0017,0.9994,0.0979,0.9821
0.0006,0.9997,0.1010,0.9811
0.0005,0.9997,0.1023,0.9816
0.0004,0.9999,0.1024,0.9827
0.0004,0.9999,0.1037,0.9821
0.0006,0.9999,0.1063,0.9816
0.0004,1.0000,0.1080,0.9816
0.0005,0.9996,0.1044,0.9816
0.0004,0.9995,0.1034,0.9821
0.0005,0.9999,0.0987,0.9827
0.0002,1.0000,0.1019,0.9827
0.0001,1.0000,0.1032,0.9827
0.0003,0.9996,0.0968,0.9832
0.0002,0.9999,0.1010,0.9821
0.0004,0.9997,0.1066,0.9827
0.0004,0.9997,0.1124,0.9827
0.0005,0.9996,0.1079,0.9832
0.0001,1.0000,0.1105,0.9821
0.0002,0.9999,0.1168,0.9827
0.0002,0.9999,0.1174,0.9816
0.0001,0.9999,0.1153,0.9827
0.0003,0.9997,0.1235,0.9811
0.0004,0.9997,0.1299,0.9806
0.0005,0.9996,0.1169,0.9816
0.0005,0.9999,0.1275,0.9848
0.0007,0.9997,0.1239,0.9842
0.0001,1.0000,0.1241,0.9858
0.0003,0.9997,0.1322,0.9827
0.0001,1.0000,0.1331,0.9837
0.0001,1.0000,0.1373,0.9837
0.0002,0.9997,0.1324,0.9842
0.0001,1.0000,0.1303,0.9837
0.0010,0.9991,0.1416,0.9837
0.0002,0.9999,0.1463,0.9827
0.0002,0.9999,0.1317,0.9811
0.0001,1.0000,0.1331,0.9811
