train_loss,train_accuracy,valid_loss,valid_accuracy
0.1933,0.9200,0.0894,0.9695
0.1386,0.9464,0.1158,0.9585
0.0913,0.9629,0.0610,0.9790
0.0836,0.9669,0.0711,0.9732
0.0653,0.9724,0.0798,0.9653
0.0698,0.9717,0.0609,0.9806
0.0546,0.9780,0.0568,0.9811
0.0466,0.9775,0.0620,0.9743
0.0625,0.9724,0.0800,0.9737
0.0597,0.9764,0.1267,0.9596
0.0400,0.9820,0.0549,0.9795
0.0548,0.9790,0.0752,0.9743
0.0387,0.9838,0.0697,0.9816
0.0431,0.9809,0.0806,0.9706
0.0340,0.9851,0.0542,0.9816
0.0231,0.9873,0.0434,0.9837
0.0492,0.9799,0.0727,0.9748
0.0181,0.9889,0.0500,0.9837
0.0275,0.9862,0.0679,0.9743
0.0598,0.9794,0.0792,0.9758
0.0371,0.9847,0.0475,0.9842
0.0211,0.9894,0.0661,0.9816
0.0108,0.9952,0.0681,0.9842
0.0175,0.9904,0.0445,0.9832
0.0382,0.9851,0.0541,0.9811
0.0151,0.9921,0.0693,0.9816
0.0779,0.9733,0.1092,0.9695
0.0345,0.9864,0.0534,0.9806
0.0183,0.9913,0.0652,0.9785
0.0156,0.9926,0.0577,0.9795
0.0179,0.9913,0.0524,0.9837
0.0211,0.9899,0.0387,0.9884
0.0499,0.9840,0.0562,0.9837
0.0158,0.9915,0.0836,0.9716
0.0163,0.9934,0.0550,0.9837
0.0192,0.9897,0.0908,0.9706
0.0333,0.9882,0.0580,0.9848
0.0192,0.9918,0.0882,0.9701
0.0196,0.9922,0.0493,0.9863
0.0115,0.9944,0.0583,0.9837
0.0090,0.9945,0.0778,0.9837
0.0290,0.9899,0.0719,0.9748
0.0224,0.9899,0.0843,0.9737
0.0165,0.9908,0.0713,0.9779
0.0075,0.9962,0.0671,0.9853
0.0124,0.9943,0.0735,0.9748
0.0160,0.9938,0.0657,0.9816
0.0171,0.9929,0.0821,0.9727
0.0217,0.9888,0.0546,0.9842
0.0260,0.9904,0.0612,0.9769
0.0101,0.9948,0.0518,0.9832
0.0074,0.9966,0.0533,0.9842
0.0053,0.9975,0.0486,0.9837
0.0039,0.9973,0.0457,0.9853
0.0035,0.9981,0.0522,0.9832
0.0022,0.9994,0.0566,0.9837
0.0032,0.9985,0.0541,0.9842
0.0027,0.9983,0.0585,0.9827
0.0022,0.9989,0.0528,0.9837
0.0047,0.9975,0.0438,0.9863
0.0023,0.9989,0.0490,0.9853
0.0024,0.9989,0.0506,0.9842
0.0020,0.9987,0.0523,0.9853
0.0020,0.9985,0.0530,0.9858
0.0012,0.9995,0.0556,0.9853
0.0010,0.9992,0.0588,0.9848
0.0011,0.9991,0.0588,0.9848
0.0010,0.9991,0.0542,0.9858
0.0008,0.9994,0.0660,0.9863
0.0013,0.9994,0.0551,0.9853
0.0011,0.9995,0.0729,0.9848
0.0018,0.9986,0.0628,0.9853
0.0006,0.9996,0.0641,0.9853
0.0026,0.9987,0.0626,0.9863
0.0021,0.9983,0.0600,0.9853
0.0009,0.9992,0.0670,0.9853
0.0007,0.9996,0.0623,0.9874
0.0006,0.9996,0.0609,0.9869
0.0010,0.9996,0.0569,0.9890
0.0004,0.9996,0.0646,0.9874
0.0006,0.9996,0.0562,0.9874
0.0008,0.9995,0.0564,0.9884
0.0010,0.9991,0.0556,0.9879
0.0004,0.9995,0.0706,0.9869
0.0007,0.9995,0.0658,0.9874
0.0004,0.9997,0.0748,0.9858
0.0013,0.9994,0.0603,0.9874
0.0010,0.9992,0.0642,0.9863
0.0018,0.9991,0.0688,0.9853
0.0012,0.9990,0.0644,0.9874
0.0006,0.9997,0.0623,0.9895
0.0008,0.9994,0.0760,0.9853
0.0005,0.9999,0.0696,0.9853
0.0005,0.9997,0.0720,0.9863
0.0002,0.9999,0.0701,0.9874
0.0002,0.9999,0.0743,0.9869
0.0004,0.9997,0.0698,0.9884
0.0003,0.9999,0.0691,0.9869
0.0002,0.9999,0.0773,0.9869
0.0005,0.9997,0.0879,0.9858
