train_loss,train_accuracy,valid_loss,valid_accuracy
0.3984,0.8254,0.1970,0.9254
0.1974,0.9133,0.1777,0.9181
0.1979,0.8982,0.1187,0.9317
0.1341,0.9335,0.0999,0.9527
0.1234,0.9387,0.0904,0.9501
0.0867,0.9573,0.0981,0.9464
0.0987,0.9519,0.0809,0.9575
0.0846,0.9606,0.1760,0.9007
0.0666,0.9631,0.0863,0.9627
0.0768,0.9609,0.1083,0.9512
0.0842,0.9538,0.1465,0.9317
0.0560,0.9701,0.0788,0.9601
0.0462,0.9734,0.0785,0.9622
0.0407,0.9759,0.0624,0.9669
0.0507,0.9715,0.0768,0.9611
0.1252,0.9465,0.1281,0.9475
0.0731,0.9598,0.0778,0.9596
0.0479,0.9767,0.0691,0.9701
0.0281,0.9824,0.0946,0.9601
0.0236,0.9848,0.1005,0.9575
0.0325,0.9829,0.3366,0.9118
0.0480,0.9767,0.1228,0.9470
0.0321,0.9833,0.1134,0.9590
0.0276,0.9831,0.0915,0.9622
0.0123,0.9917,0.1280,0.9596
0.0331,0.9842,0.1238,0.9370
0.0357,0.9799,0.1208,0.9548
0.0634,0.9750,0.1129,0.9543
0.0554,0.9739,0.0892,0.9580
0.0208,0.9873,0.1236,0.9585
0.0125,0.9930,0.1412,0.9590
0.0156,0.9916,0.1349,0.9643
0.0077,0.9957,0.1033,0.9680
0.0986,0.9461,0.1025,0.9527
0.0388,0.9781,0.1123,0.9564
0.0148,0.9921,0.1040,0.9648
0.0132,0.9930,0.1409,0.9575
0.0207,0.9892,0.1121,0.9580
0.0157,0.9925,0.1733,0.9554
0.0237,0.9896,0.1450,0.9580
0.0044,0.9976,0.1093,0.9685
0.0052,0.9969,0.1668,0.9575
0.0074,0.9952,0.1615,0.9606
0.0543,0.9766,0.1382,0.9543
0.0231,0.9894,0.3060,0.9223
0.0182,0.9903,0.1359,0.9538
0.0144,0.9915,0.1332,0.9596
0.0043,0.9973,0.1424,0.9627
0.0012,0.9992,0.1710,0.9611
0.0004,0.9999,0.1696,0.9611
0.0003,0.9997,0.1806,0.9596
0.0002,0.9999,0.1847,0.9590
0.0001,1.0000,0.1827,0.9601
0.0001,1.0000,0.1792,0.9617
0.0001,1.0000,0.1813,0.9617
0.0001,1.0000,0.1818,0.9611
0.0001,1.0000,0.1887,0.9611
0.0001,1.0000,0.1913,0.9611
0.0001,1.0000,0.1944,0.9617
0.0001,1.0000,0.1953,0.9606
0.0001,1.0000,0.1954,0.9596
0.0001,1.0000,0.2034,0.9601
0.0001,1.0000,0.1885,0.9627
0.0000,1.0000,0.1961,0.9611
0.0003,0.9999,0.2038,0.9611
0.0001,1.0000,0.2024,0.9601
0.0000,1.0000,0.2091,0.9590
0.0000,1.0000,0.2085,0.9601
0.0000,1.0000,0.2127,0.9606
0.0000,1.0000,0.2240,0.9596
0.0000,1.0000,0.2453,0.9622
0.0000,1.0000,0.2330,0.9585
0.0000,1.0000,0.2377,0.9585
0.0003,0.9999,0.2205,0.9590
0.0001,0.9997,0.2756,0.9601
0.0004,0.9997,0.2061,0.9601
0.0001,1.0000,0.2083,0.9601
0.0000,1.0000,0.2076,0.9601
0.0000,1.0000,0.2198,0.9611
0.0002,0.9997,0.2153,0.9569
0.0001,0.9999,0.2192,0.9617
0.0000,1.0000,0.2325,0.9596
0.0000,1.0000,0.2308,0.9611
0.0001,1.0000,0.2628,0.9590
0.0000,1.0000,0.2386,0.9627
0.0003,0.9997,0.2180,0.9611
0.0002,1.0000,0.2454,0.9643
0.0000,1.0000,0.2469,0.9643
0.0000,1.0000,0.2526,0.9638
0.0004,0.9997,0.2286,0.9643
0.0006,0.9996,0.2823,0.9596
0.0006,0.9996,0.2576,0.9585
0.0002,1.0000,0.2319,0.9622
0.0000,1.0000,0.2481,0.9585
0.0000,1.0000,0.2581,0.9606
0.0000,1.0000,0.2559,0.9606
0.0000,1.0000,0.2464,0.9601
0.0000,1.0000,0.2563,0.9590
0.0000,1.0000,0.2535,0.9601
0.0000,1.0000,0.2603,0.9606
