train_loss,train_accuracy,valid_loss,valid_accuracy
0.3614,0.8448,0.2555,0.8997
0.2474,0.8925,0.1730,0.9349
0.1816,0.9198,0.1229,0.9485
0.1411,0.9344,0.0853,0.9643
0.1295,0.9459,0.0889,0.9611
0.1394,0.9418,0.0847,0.9680
0.1026,0.9534,0.1112,0.9611
0.1102,0.9542,0.1286,0.9464
0.0879,0.9589,0.0809,0.9701
0.0940,0.9571,0.0811,0.9664
0.0821,0.9620,0.1051,0.9527
0.0625,0.9711,0.0655,0.9737
0.0709,0.9652,0.1327,0.9464
0.0961,0.9605,0.0871,0.9659
0.0824,0.9641,0.1963,0.9128
0.0872,0.9646,0.0587,0.9764
0.0525,0.9755,0.0808,0.9695
0.0487,0.9743,0.0797,0.9727
0.0572,0.9711,0.0582,0.9685
0.0566,0.9717,0.0630,0.9737
0.0705,0.9705,0.1187,0.9569
0.0453,0.9775,0.1025,0.9569
0.0535,0.9749,0.0663,0.9701
0.0343,0.9803,0.0522,0.9758
0.0477,0.9754,0.1169,0.9580
0.0448,0.9795,0.0604,0.9722
0.0479,0.9764,0.0723,0.9674
0.0406,0.9803,0.0665,0.9674
0.0390,0.9800,0.0557,0.9779
0.0721,0.9661,0.1613,0.9133
0.0738,0.9666,0.0746,0.9737
0.0550,0.9763,0.0671,0.9732
0.0429,0.9782,0.0596,0.9727
0.0262,0.9861,0.0629,0.9758
0.0336,0.9837,0.0912,0.9674
0.0353,0.9785,0.0603,0.9695
0.0321,0.9845,0.0549,0.9764
0.0408,0.9792,0.0498,0.9800
0.0268,0.9852,0.0828,0.9701
0.0243,0.9874,0.0757,0.9732
0.0342,0.9812,0.0785,0.9748
0.0237,0.9893,0.0744,0.9722
0.0288,0.9850,0.1267,0.9438
0.0334,0.9828,0.0548,0.9779
0.0196,0.9876,0.0585,0.9790
0.0711,0.9710,0.0619,0.9758
0.0282,0.9851,0.0872,0.9674
0.0219,0.9883,0.0679,0.9769
0.0337,0.9817,0.0640,0.9716
0.0265,0.9850,0.0679,0.9748
0.0171,0.9906,0.0573,0.9785
0.0114,0.9927,0.0604,0.9779
0.0107,0.9936,0.0615,0.9779
0.0084,0.9944,0.0623,0.9779
0.0100,0.9936,0.0542,0.9800
0.0082,0.9953,0.0643,0.9795
0.0079,0.9958,0.0589,0.9779
0.0083,0.9943,0.0613,0.9785
0.0053,0.9971,0.0647,0.9779
0.0070,0.9959,0.0602,0.9821
0.0043,0.9961,0.0618,0.9800
0.0068,0.9959,0.0610,0.9795
0.0046,0.9973,0.0596,0.9821
0.0043,0.9968,0.0601,0.9811
0.0051,0.9972,0.0704,0.9779
0.0038,0.9975,0.0739,0.9790
0.0043,0.9973,0.0767,0.9769
0.0043,0.9975,0.0704,0.9790
0.0029,0.9985,0.0745,0.9795
0.0030,0.9978,0.0758,0.9811
0.0034,0.9980,0.1015,0.9748
0.0033,0.9982,0.0841,0.9790
0.0027,0.9985,0.1069,0.9779
0.0026,0.9982,0.0890,0.9774
0.0036,0.9977,0.0960,0.9758
0.0022,0.9990,0.0953,0.9785
0.0027,0.9985,0.0869,0.9779
0.0018,0.9990,0.0793,0.9816
0.0027,0.9985,0.1007,0.9769
0.0018,0.9989,0.0882,0.9790
0.0020,0.9989,0.0770,0.9785
0.0014,0.9995,0.0836,0.9800
0.0029,0.9982,0.0817,0.9800
0.0031,0.9985,0.1150,0.9785
0.0018,0.9991,0.0993,0.9774
0.0014,0.9987,0.0940,0.9806
0.0011,0.9991,0.0982,0.9800
0.0013,0.9994,0.0926,0.9800
0.0007,0.9996,0.0980,0.9800
0.0017,0.9989,0.0855,0.9832
0.0024,0.9986,0.0891,0.9827
0.0020,0.9985,0.0870,0.9811
0.0026,0.9986,0.0894,0.9811
0.0018,0.9990,0.0916,0.9774
0.0010,0.9994,0.0829,0.9816
0.0009,0.9996,0.0935,0.9811
0.0012,0.9994,0.0822,0.9811
0.0010,0.9991,0.0943,0.9774
0.0015,0.9986,0.0936,0.9800
0.0026,0.9985,0.0949,0.9832
