train_loss,train_accuracy,valid_loss,valid_accuracy
0.2882,0.8502,0.1677,0.9186
0.1817,0.9067,0.1738,0.9328
0.1496,0.9143,0.1570,0.9375
0.1104,0.9365,0.1187,0.9459
0.1083,0.9374,0.1695,0.9328
0.1068,0.9398,0.1330,0.9475
0.1062,0.9390,0.1266,0.9491
0.1143,0.9347,0.2444,0.9202
0.1017,0.9426,0.1780,0.9364
0.1048,0.9412,0.1562,0.9401
0.0791,0.9565,0.1490,0.9470
0.0878,0.9467,0.2067,0.9280
0.0769,0.9492,0.1158,0.9512
0.0807,0.9526,0.1238,0.9543
0.0781,0.9523,0.1269,0.9527
0.0573,0.9592,0.1741,0.9491
0.0701,0.9558,0.1238,0.9485
0.0569,0.9637,0.1478,0.9459
0.0582,0.9615,0.1308,0.9569
0.0579,0.9597,0.1245,0.9496
0.0634,0.9592,0.1175,0.9522
0.0548,0.9619,0.1773,0.9475
0.0635,0.9623,0.1516,0.9443
0.0614,0.9619,0.1269,0.9533
0.0691,0.9568,0.1802,0.9480
0.0631,0.9594,0.1211,0.9433
0.0574,0.9640,0.1415,0.9438
0.0493,0.9643,0.1492,0.9438
0.0527,0.9621,0.1414,0.9475
0.0629,0.9617,0.1431,0.9422
0.0531,0.9637,0.1193,0.9517
0.0489,0.9652,0.1235,0.9522
0.0557,0.9663,0.1264,0.9449
0.0542,0.9647,0.1262,0.9454
0.0583,0.9617,0.1573,0.9564
0.0484,0.9697,0.1815,0.9428
0.0474,0.9665,0.1291,0.9569
0.0421,0.9682,0.1297,0.9548
0.0420,0.9702,0.1205,0.9501
0.0437,0.9722,0.1475,0.9559
0.0479,0.9677,0.1925,0.9438
0.0467,0.9668,0.1989,0.9522
0.0623,0.9631,0.1233,0.9485
0.0415,0.9705,0.1748,0.9459
0.0430,0.9693,0.1975,0.9459
0.0513,0.9674,0.1543,0.9454
0.0420,0.9695,0.1358,0.9522
0.0515,0.9672,0.1749,0.9527
0.0417,0.9707,0.1455,0.9564
0.0398,0.9690,0.1293,0.9501
0.0331,0.9774,0.1298,0.9527
0.0315,0.9755,0.1471,0.9501
0.0298,0.9767,0.1534,0.9517
0.0279,0.9783,0.1520,0.9527
0.0277,0.9793,0.1392,0.9543
0.0252,0.9796,0.1503,0.9548
0.0282,0.9768,0.1656,0.9533
0.0254,0.9783,0.1657,0.9522
0.0276,0.9763,0.1565,0.9554
0.0248,0.9804,0.1466,0.9564
0.0265,0.9762,0.1570,0.9533
0.0264,0.9804,0.1473,0.9554
0.0219,0.9810,0.1494,0.9569
0.0244,0.9802,0.1620,0.9564
0.0264,0.9781,0.1636,0.9564
0.0248,0.9806,0.1616,0.9512
0.0267,0.9777,0.1562,0.9575
0.0212,0.9814,0.1514,0.9569
0.0248,0.9796,0.1713,0.9569
0.0208,0.9823,0.1669,0.9543
0.0229,0.9805,0.1519,0.9559
0.0235,0.9809,0.1590,0.9543
0.0228,0.9816,0.1641,0.9559
0.0238,0.9788,0.1825,0.9538
0.0231,0.9787,0.1739,0.9554
0.0226,0.9811,0.1755,0.9554
0.0233,0.9797,0.1701,0.9533
0.0234,0.9815,0.1888,0.9533
0.0227,0.9796,0.1595,0.9559
0.0245,0.9786,0.1613,0.9559
0.0218,0.9816,0.1521,0.9554
0.0211,0.9825,0.1588,0.9575
0.0186,0.9841,0.1662,0.9569
0.0224,0.9821,0.1770,0.9538
0.0207,0.9832,0.1981,0.9506
0.0225,0.9811,0.1748,0.9527
0.0224,0.9832,0.1625,0.9585
0.0220,0.9809,0.1673,0.9580
0.0192,0.9842,0.1817,0.9569
0.0189,0.9842,0.1700,0.9590
0.0189,0.9838,0.1751,0.9606
0.0172,0.9844,0.1719,0.9617
0.0174,0.9866,0.1752,0.9611
0.0196,0.9823,0.1602,0.9601
0.0205,0.9830,0.1897,0.9580
0.0193,0.9830,0.1880,0.9575
0.0175,0.9847,0.1780,0.9564
0.0193,0.9834,0.1747,0.9585
0.0183,0.9857,0.1890,0.9575
0.0190,0.9846,0.1873,0.9575
