train_loss,train_accuracy,valid_loss,valid_accuracy
0.1783,0.9310,0.0881,0.9695
0.0985,0.9611,0.0997,0.9648
0.0864,0.9670,0.0711,0.9753
0.0719,0.9698,0.0769,0.9685
0.0679,0.9733,0.0524,0.9790
0.0797,0.9691,0.1076,0.9664
0.0839,0.9674,0.0679,0.9732
0.0479,0.9804,0.0515,0.9842
0.0434,0.9795,0.0649,0.9743
0.0482,0.9809,0.0659,0.9785
0.0523,0.9792,0.0827,0.9753
0.0335,0.9860,0.0636,0.9764
0.0506,0.9792,0.0858,0.9674
0.0365,0.9856,0.0546,0.9816
0.0240,0.9887,0.0525,0.9790
0.0355,0.9847,0.0620,0.9790
0.0230,0.9906,0.0277,0.9848
0.0348,0.9852,0.3611,0.9370
0.0768,0.9712,0.2566,0.9338
0.0428,0.9837,0.0504,0.9795
0.0225,0.9895,0.0396,0.9842
0.0223,0.9911,0.0553,0.9827
0.0249,0.9893,0.0699,0.9758
0.0274,0.9876,0.0751,0.9758
0.0205,0.9901,0.0404,0.9858
0.0226,0.9899,0.0619,0.9837
0.0297,0.9862,0.0482,0.9779
0.0452,0.9841,0.0745,0.9732
0.0357,0.9860,0.0641,0.9758
0.0131,0.9934,0.0687,0.9821
0.0252,0.9906,0.1030,0.9769
0.0176,0.9918,0.0545,0.9842
0.0242,0.9894,0.0650,0.9827
0.0264,0.9888,0.0542,0.9806
0.0166,0.9918,0.0401,0.9842
0.0093,0.9953,0.0884,0.9790
0.0131,0.9938,0.0609,0.9832
0.0113,0.9944,0.0593,0.9816
0.0126,0.9927,0.0826,0.9711
0.0217,0.9903,0.0465,0.9816
0.0303,0.9903,0.0875,0.9774
0.0212,0.9909,0.0580,0.9858
0.0503,0.9853,0.0536,0.9806
0.0148,0.9944,0.0487,0.9842
0.0087,0.9962,0.1083,0.9769
0.0094,0.9950,0.0495,0.9837
0.0267,0.9909,0.0555,0.9806
0.0097,0.9953,0.0906,0.9701
0.0131,0.9929,0.0518,0.9895
0.0192,0.9930,0.0605,0.9842
0.0100,0.9945,0.0547,0.9858
0.0051,0.9977,0.0517,0.9848
0.0044,0.9969,0.0502,0.9858
0.0051,0.9972,0.0501,0.9863
0.0025,0.9986,0.0506,0.9869
0.0037,0.9976,0.0484,0.9858
0.0026,0.9982,0.0496,0.9853
0.0036,0.9983,0.0562,0.9848
0.0025,0.9985,0.0514,0.9858
0.0015,0.9992,0.0518,0.9848
0.0017,0.9986,0.0575,0.9837
0.0018,0.9992,0.0551,0.9853
0.0019,0.9992,0.0499,0.9858
0.0012,0.9990,0.0518,0.9879
0.0011,0.9995,0.0586,0.9853
0.0009,0.9994,0.0520,0.9874
0.0010,0.9989,0.0530,0.9863
0.0016,0.9987,0.0667,0.9842
0.0019,0.9991,0.0639,0.9858
0.0014,0.9995,0.0515,0.9853
0.0010,0.9995,0.0469,0.9858
0.0008,0.9995,0.0527,0.9848
0.0008,0.9997,0.0479,0.9869
0.0005,0.9999,0.0533,0.9869
0.0006,0.9996,0.0587,0.9863
0.0005,0.9997,0.0558,0.9879
0.0014,0.9990,0.0522,0.9869
0.0024,0.9987,0.0574,0.9879
0.0011,0.9991,0.0620,0.9863
0.0006,0.9996,0.0548,0.9884
0.0006,0.9997,0.0565,0.9874
0.0005,0.9996,0.0633,0.9848
0.0005,0.9997,0.0560,0.9879
0.0001,1.0000,0.0579,0.9879
0.0009,0.9996,0.0562,0.9890
0.0003,0.9999,0.0586,0.9869
0.0008,0.9996,0.0578,0.9879
0.0002,0.9999,0.0604,0.9869
0.0008,0.9995,0.0726,0.9858
0.0011,0.9995,0.0513,0.9900
0.0004,0.9997,0.0700,0.9858
0.0004,0.9999,0.0603,0.9863
0.0004,0.9997,0.0737,0.9853
0.0013,0.9991,0.0850,0.9863
0.0004,0.9997,0.0831,0.9874
0.0003,0.9997,0.0792,0.9874
0.0005,0.9995,0.0908,0.9863
0.0013,0.9994,0.0752,0.9869
0.0015,0.9997,0.0931,0.9827
0.0003,0.9999,0.0839,0.9863
