train_loss,train_accuracy,valid_loss,valid_accuracy
0.6321,0.6382,0.5646,0.7369
0.5404,0.7504,0.5125,0.7852
0.5070,0.7830,0.4835,0.8136
0.4807,0.7944,0.4446,0.8356
0.4591,0.8106,0.4323,0.8461
0.4471,0.8175,0.4180,0.8456
0.4324,0.8336,0.3950,0.8540
0.4255,0.8295,0.4207,0.8314
0.4109,0.8412,0.4012,0.8461
0.4101,0.8387,0.3836,0.8613
0.4008,0.8426,0.3707,0.8708
0.3917,0.8551,0.3658,0.8745
0.3867,0.8521,0.3817,0.8535
0.3870,0.8502,0.3569,0.8729
0.3765,0.8582,0.3590,0.8734
0.3704,0.8611,0.3478,0.8797
0.3664,0.8623,0.3544,0.8713
0.3700,0.8604,0.3379,0.8808
0.3594,0.8671,0.3415,0.8797
0.3609,0.8659,0.3383,0.8845
0.3499,0.8749,0.3264,0.8892
0.3514,0.8702,0.3364,0.8824
0.3469,0.8729,0.3222,0.8939
0.3323,0.8794,0.3194,0.8913
0.3340,0.8795,0.3136,0.8976
0.3389,0.8665,0.3165,0.8897
0.3292,0.8818,0.3081,0.8923
0.3252,0.8840,0.3033,0.9055
0.3235,0.8870,0.3113,0.8813
0.3201,0.8898,0.3008,0.8918
0.3201,0.8817,0.2908,0.9123
0.3118,0.8931,0.2898,0.9081
0.3112,0.8897,0.3007,0.8876
0.3070,0.8910,0.2858,0.9086
0.3016,0.8912,0.2933,0.8881
0.3048,0.8884,0.2859,0.8950
0.3032,0.8897,0.2822,0.8960
0.2934,0.8943,0.2740,0.9044
0.2997,0.8891,0.2732,0.9028
0.2900,0.8972,0.2693,0.9065
0.2943,0.8962,0.2756,0.9002
0.2858,0.8988,0.2766,0.8929
0.2870,0.8991,0.2604,0.9128
0.2849,0.9032,0.2866,0.8876
0.2863,0.8981,0.2592,0.9118
0.2815,0.9031,0.2605,0.9097
0.2771,0.9040,0.2674,0.9039
0.2781,0.8990,0.2532,0.9128
0.2728,0.9026,0.2664,0.8971
0.2717,0.9074,0.2655,0.8981
0.2664,0.9049,0.2549,0.9097
0.2647,0.9075,0.2531,0.9102
0.2647,0.9082,0.2535,0.9097
0.2646,0.9051,0.2490,0.9160
0.2678,0.9041,0.2510,0.9149
0.2618,0.9118,0.2501,0.9139
0.2645,0.9072,0.2534,0.9107
0.2680,0.9053,0.2511,0.9128
0.2653,0.9104,0.2507,0.9133
0.2629,0.9065,0.2489,0.9149
0.2616,0.9124,0.2473,0.9186
0.2655,0.9096,0.2483,0.9165
0.2596,0.9100,0.2498,0.9154
0.2628,0.9072,0.2496,0.9149
0.2588,0.9130,0.2509,0.9123
0.2653,0.9120,0.2496,0.9128
0.2632,0.9084,0.2481,0.9160
0.2593,0.9086,0.2496,0.9128
0.2613,0.9087,0.2493,0.9128
0.2585,0.9148,0.2497,0.9123
0.2627,0.9101,0.2491,0.9128
0.2648,0.9095,0.2481,0.9139
0.2629,0.9081,0.2480,0.9160
0.2604,0.9093,0.2481,0.9128
0.2630,0.9119,0.2493,0.9133
0.2605,0.9090,0.2518,0.9107
0.2623,0.9083,0.2464,0.9165
0.2651,0.9070,0.2492,0.9133
0.2581,0.9075,0.2501,0.9107
0.2638,0.9079,0.2504,0.9102
0.2590,0.9143,0.2472,0.9139
0.2596,0.9116,0.2453,0.9170
0.2596,0.9087,0.2506,0.9118
0.2588,0.9106,0.2504,0.9128
0.2605,0.9053,0.2445,0.9165
0.2608,0.9096,0.2459,0.9149
0.2591,0.9115,0.2450,0.9144
0.2585,0.9100,0.2443,0.9165
0.2592,0.9107,0.2431,0.9175
0.2634,0.9100,0.2446,0.9149
0.2647,0.9068,0.2443,0.9170
0.2554,0.9149,0.2438,0.9154
0.2609,0.9082,0.2429,0.9170
0.2584,0.9105,0.2474,0.9139
0.2570,0.9070,0.2431,0.9165
0.2561,0.9111,0.2449,0.9144
0.2597,0.9098,0.2426,0.9170
0.2584,0.9093,0.2420,0.9181
0.2574,0.9110,0.2438,0.9165
0.2587,0.9104,0.2442,0.9144
