train_loss,train_accuracy,valid_loss,valid_accuracy
0.2512,0.8928,0.1464,0.9301
0.1400,0.9407,0.1314,0.9470
0.0966,0.9566,0.1413,0.9522
0.0856,0.9625,0.1152,0.9522
0.0754,0.9649,0.0578,0.9779
0.0641,0.9675,0.0504,0.9800
0.0531,0.9735,0.0553,0.9790
0.0506,0.9770,0.0820,0.9711
0.0439,0.9776,0.0627,0.9764
0.0428,0.9784,0.0753,0.9764
0.0375,0.9802,0.0814,0.9716
0.0370,0.9806,0.0575,0.9816
0.0394,0.9815,0.0898,0.9638
0.0302,0.9841,0.0779,0.9701
0.0463,0.9776,0.0668,0.9701
0.0327,0.9836,0.0607,0.9800
0.0336,0.9844,0.0612,0.9795
0.0280,0.9869,0.0799,0.9764
0.0155,0.9904,0.0620,0.9816
0.0321,0.9870,0.0890,0.9800
0.0187,0.9894,0.0653,0.9764
0.0463,0.9792,0.1422,0.9470
0.0456,0.9801,0.0589,0.9711
0.0427,0.9806,0.0728,0.9716
0.0215,0.9883,0.0488,0.9821
0.0106,0.9935,0.0864,0.9753
0.0094,0.9946,0.0607,0.9848
0.0159,0.9925,0.0701,0.9722
0.0132,0.9922,0.0475,0.9827
0.0256,0.9861,0.0744,0.9800
0.0152,0.9911,0.0714,0.9806
0.0241,0.9889,0.0658,0.9800
0.0162,0.9911,0.0928,0.9748
0.0130,0.9940,0.0472,0.9837
0.0116,0.9940,0.0695,0.9785
0.0309,0.9865,0.0943,0.9711
0.0141,0.9929,0.0876,0.9732
0.0287,0.9876,0.0626,0.9790
0.0253,0.9883,0.0876,0.9695
0.0168,0.9915,0.0644,0.9769
0.0085,0.9943,0.0624,0.9853
0.0078,0.9960,0.0725,0.9737
0.0055,0.9968,0.0602,0.9848
0.0224,0.9899,0.0569,0.9769
0.0102,0.9949,0.0558,0.9785
0.0219,0.9922,0.0534,0.9790
0.0073,0.9974,0.0720,0.9800
0.0248,0.9899,0.0774,0.9790
0.0095,0.9946,0.0633,0.9821
0.0095,0.9950,0.0549,0.9816
0.0024,0.9986,0.0567,0.9821
0.0023,0.9986,0.0602,0.9842
0.0022,0.9986,0.0607,0.9821
0.0013,0.9992,0.0580,0.9832
0.0020,0.9985,0.0621,0.9832
0.0009,0.9994,0.0660,0.9821
0.0013,0.9991,0.0729,0.9811
0.0020,0.9991,0.0657,0.9832
0.0009,0.9994,0.0651,0.9842
0.0014,0.9992,0.0658,0.9842
0.0008,0.9996,0.0666,0.9837
0.0005,0.9997,0.0724,0.9827
0.0004,0.9997,0.0787,0.9832
0.0007,0.9996,0.0747,0.9827
0.0007,0.9996,0.0793,0.9848
0.0012,0.9994,0.0797,0.9827
0.0006,0.9996,0.0802,0.9837
0.0011,0.9995,0.0776,0.9848
0.0006,0.9997,0.0762,0.9827
0.0010,0.9997,0.0783,0.9827
0.0005,0.9996,0.0816,0.9832
0.0002,0.9999,0.0856,0.9848
0.0003,0.9997,0.0857,0.9832
0.0004,0.9996,0.0922,0.9832
0.0006,0.9996,0.0860,0.9858
0.0008,0.9996,0.0816,0.9858
0.0003,0.9999,0.0858,0.9842
0.0005,0.9999,0.1217,0.9832
0.0007,0.9999,0.1054,0.9832
0.0018,0.9991,0.0843,0.9832
0.0011,0.9995,0.0773,0.9837
0.0001,1.0000,0.0783,0.9853
0.0006,0.9997,0.0775,0.9858
0.0005,0.9995,0.0765,0.9853
0.0009,0.9996,0.0798,0.9837
0.0007,0.9997,0.0713,0.9848
0.0002,0.9999,0.0771,0.9848
0.0003,0.9997,0.0800,0.9858
0.0004,0.9997,0.0861,0.9848
0.0019,0.9996,0.0704,0.9869
0.0005,0.9995,0.0690,0.9869
0.0003,0.9996,0.0724,0.9869
0.0001,0.9999,0.0771,0.9874
0.0000,1.0000,0.0789,0.9874
0.0000,1.0000,0.0810,0.9874
0.0003,0.9999,0.0832,0.9879
0.0000,1.0000,0.0847,0.9869
0.0001,1.0000,0.0875,0.9874
0.0001,1.0000,0.0898,0.9869
0.0004,0.9997,0.0906,0.9858
